date,season,tempmax,tempmin,humidity,precip,crop,Pest_Attack
15-06-2013,Monsoon,36.1,24.8,68.2,5.104,mango,0
16-06-2013,Monsoon,32.6,24,90.9,38.279,papaya,0
17-06-2013,Monsoon,30.1,25,87.2,26.37,maize,0
18-06-2013,Monsoon,31.6,25,90.8,0.1,rice,0
19-06-2013,Monsoon,35.1,25.1,73.6,4.253,grapes,0
20-06-2013,Monsoon,39,26.8,56.7,0.5,coconut,0
21-06-2013,Monsoon,41,28.8,48.7,0,cotton,0
22-06-2013,Monsoon,40.1,29.5,43.9,0,apple,0
23-06-2013,Monsoon,40.1,31.3,53.6,0,kidneybeans,0
24-06-2013,Monsoon,39.1,30.1,60.9,0,pomegranate,0
25-06-2013,Monsoon,34.4,28.1,74.9,0,apple,0
26-06-2013,Monsoon,33.9,28,75.8,0.4,kidneybeans,0
27-06-2013,Monsoon,37.1,29,70.5,1.701,apple,0
28-06-2013,Monsoon,36,26,72,0,coffee,0
30-06-2013,Monsoon,37.1,28.1,57.1,0,coffee,0
13-07-2013,Monsoon,35.4,27.5,76.4,0,coconut,0
14-07-2013,Monsoon,35.4,26.8,77.6,3.403,grapes,0
15-07-2013,Monsoon,35.5,28,76.7,0,orange,0
16-07-2013,Monsoon,34,27.4,81.5,28.072,rice,1
17-07-2013,Monsoon,34,27.9,83.6,0.6,cotton,0
18-07-2013,Monsoon,34.1,27,84.1,5.955,pigeonpeas,0
19-07-2013,Monsoon,35.1,28.1,76.9,0,watermelon,0
20-07-2013,Monsoon,31.3,24,92.2,120.312,coffee,1
21-07-2013,Monsoon,33,25.9,86.4,0.2,muskmelon,0
22-07-2013,Monsoon,31.4,26.6,91,0.851,orange,0
23-07-2013,Monsoon,34.8,26.1,80,0.766,jute,1
24-07-2013,Monsoon,36.2,28,83.4,16.162,banana,1
25-07-2013,Monsoon,34.2,26,88.4,9,rice,1
26-07-2013,Monsoon,34.1,25.1,81.3,0,muskmelon,0
27-07-2013,Monsoon,34.7,27,85.5,14.461,maize,0
29-07-2013,Monsoon,35.1,27.1,79.2,24.669,orange,0
30-07-2013,Monsoon,32.6,27.5,85.9,0.5,kidneybeans,0
31-07-2013,Monsoon,32.3,26,86.3,0.5,coffee,1
13-08-2013,Monsoon,32.5,27.1,87.1,0.1,pomegranate,0
14-08-2013,Monsoon,33.8,26,85.3,5.955,lentil,0
16-08-2013,Monsoon,30.2,25.4,93.9,52.74,banana,0
17-08-2013,Monsoon,31.1,25,93.3,44.428,chickpea,0
18-08-2013,Monsoon,31.4,25.9,89.9,0.17,chickpea,0
19-08-2013,Monsoon,32.1,26.1,91.9,12.701,watermelon,0
20-08-2013,Monsoon,32.5,26,92.5,86.636,maize,0
21-08-2013,Monsoon,33.8,25.5,86.7,0.425,papaya,0
22-08-2013,Monsoon,31.3,26,86.6,3.232,mungbean,0
23-08-2013,Monsoon,34.1,26.9,80.8,0.1,orange,0
24-08-2013,Monsoon,35.8,28,75.7,0,coffee,1
25-08-2013,Monsoon,34.6,28.3,82.4,11.058,cotton,0
26-08-2013,Monsoon,35.9,26.1,78.4,0.1,cotton,0
27-08-2013,Monsoon,34.9,27.3,73.4,0.1,jute,0
28-08-2013,Monsoon,32.6,27,72,0,banana,0
31-08-2013,Monsoon,32.1,23,81.9,0.5,pigeonpeas,0
13-09-2013,Monsoon,35.3,27,71.2,0,mango,0
14-09-2013,Monsoon,36.1,27,69.5,0,watermelon,0
16-09-2013,Monsoon,34.1,22.9,66.2,0,coconut,0
17-09-2013,Monsoon,35.1,24.3,61.4,0,lentil,0
18-09-2013,Monsoon,35.3,24.4,63,0,muskmelon,0
19-09-2013,Monsoon,35.1,25,66.7,0,kidneybeans,0
20-09-2013,Monsoon,33.1,26.5,72.9,1.1,jute,0
22-09-2013,Monsoon,33,24,77.6,0,pigeonpeas,0
23-09-2013,Monsoon,34,26.9,74.4,0,muskmelon,0
25-09-2013,Monsoon,33.4,26.3,76.2,27.221,watermelon,0
26-09-2013,Monsoon,33.7,25,81.5,2.3,watermelon,0
27-09-2013,Monsoon,34,26,78.6,0.34,mungbean,0
28-09-2013,Monsoon,35,25,74.3,0,mango,0
29-09-2013,Monsoon,30.1,26.1,81.2,24.669,orange,0
30-09-2013,Monsoon,30.5,24.7,84.7,3.925,blackgram,0
13-10-2013,Post-Monsoon,31.7,24,79.4,0.851,grapes,0
14-10-2013,Post-Monsoon,32,24,77.4,0,orange,0
15-10-2013,Post-Monsoon,32.4,23,74.3,0,grapes,0
17-10-2013,Post-Monsoon,33.2,22,71.3,0,mungbean,0
18-10-2013,Post-Monsoon,32.6,23,72.4,0,mango,0
19-10-2013,Post-Monsoon,32.5,21,66.3,0,papaya,0
20-10-2013,Post-Monsoon,32,19,64.1,0,coconut,0
21-10-2013,Post-Monsoon,31,19,63.8,0,pomegranate,0
22-10-2013,Post-Monsoon,33,18,65.6,0,maize,0
23-10-2013,Post-Monsoon,31.6,19.9,67.6,0,watermelon,0
24-10-2013,Post-Monsoon,30.2,19.6,69.1,0,pigeonpeas,0
25-10-2013,Post-Monsoon,29.4,19,71.4,0,mothbeans,0
26-10-2013,Post-Monsoon,30,19,71.7,0,mothbeans,0
27-10-2013,Post-Monsoon,30.1,18.4,69.5,0,papaya,0
28-10-2013,Post-Monsoon,30.1,18,62.2,0,maize,0
29-10-2013,Post-Monsoon,31,17,63.9,0,jute,0
30-10-2013,Post-Monsoon,32,16,60.4,0,rice,0
31-10-2013,Post-Monsoon,30.1,18.9,57.8,0,muskmelon,0
13-11-2013,Post-Monsoon,25.6,11,61.2,0,banana,0
14-11-2013,Post-Monsoon,25.1,11,59.4,0,orange,0
15-11-2013,Post-Monsoon,25.6,9.6,59.5,0,orange,0
16-11-2013,Post-Monsoon,26.3,11.2,61.5,0,pomegranate,0
17-11-2013,Post-Monsoon,25.1,9.6,58.1,0,watermelon,0
18-11-2013,Post-Monsoon,27,10,53.8,0,maize,0
19-11-2013,Post-Monsoon,26.5,10.6,56.1,0,muskmelon,0
20-11-2013,Post-Monsoon,27.7,11,55.9,0,papaya,0
21-11-2013,Post-Monsoon,27.7,11,59.7,0,mungbean,0
22-11-2013,Post-Monsoon,26,12.2,69,0,chickpea,0
23-11-2013,Post-Monsoon,27,11.6,69.8,0,cotton,0
24-11-2013,Post-Monsoon,27.2,10.8,60.5,0,coffee,0
25-11-2013,Post-Monsoon,28.2,13,58.8,0,chickpea,0
26-11-2013,Post-Monsoon,28.2,14,56,0,jute,0
27-11-2013,Post-Monsoon,27.6,12.7,60.9,0,chickpea,0
28-11-2013,Post-Monsoon,27.6,12.6,62.7,0,jute,0
29-11-2013,Post-Monsoon,27,11.2,65.2,0,mothbeans,0
30-11-2013,Post-Monsoon,27.2,11,61.5,0,kidneybeans,0
13-12-2013,Post-Monsoon,24.2,10,66.5,0,mothbeans,0
14-12-2013,Post-Monsoon,24.2,9.7,73.6,0,papaya,0
15-12-2013,Post-Monsoon,23.6,10.9,74,0,papaya,0
16-12-2013,Post-Monsoon,24,10.4,83.3,0,jute,0
17-12-2013,Post-Monsoon,23,10,87.8,0,mungbean,0
18-12-2013,Post-Monsoon,22,10.1,91.6,0,coffee,1
19-12-2013,Post-Monsoon,21.5,11.9,88.2,0,mango,0
20-12-2013,Post-Monsoon,18.9,13,93.6,0,watermelon,0
21-12-2013,Post-Monsoon,16,13,96.6,0,banana,0
22-12-2013,Post-Monsoon,17.2,13,93.2,0,apple,0
23-12-2013,Post-Monsoon,18,11,93.3,0,mothbeans,0
24-12-2013,Post-Monsoon,19.3,9,87,0,papaya,0
25-12-2013,Post-Monsoon,20,6,68.9,0,banana,0
26-12-2013,Post-Monsoon,20.1,5.4,62.1,0,maize,0
27-12-2013,Post-Monsoon,16.7,8.5,69.6,0.17,blackgram,0
28-12-2013,Post-Monsoon,19.3,5,61.5,0,papaya,0
29-12-2013,Post-Monsoon,18.7,3.5,63.2,0,kidneybeans,0
30-12-2013,Post-Monsoon,18.7,4,75.4,5.104,jute,0
31-12-2013,Post-Monsoon,16.9,8.9,87.8,1.8,mango,0
13-01-2014,Winter,20.8,7.9,73.6,0,jute,0
14-01-2014,Winter,21.5,7.4,75.4,0,mothbeans,0
15-01-2014,Winter,16,9.4,93,0,watermelon,0
16-01-2014,Winter,15.3,9.4,94.7,0,coffee,0
17-01-2014,Winter,13,9,95.9,0.17,mothbeans,0
18-01-2014,Winter,15.1,10.3,94.8,2.382,papaya,0
19-01-2014,Winter,19.7,10,85.3,0,mango,0
20-01-2014,Winter,21,8,88.6,0,muskmelon,0
21-01-2014,Winter,14.5,12,96.7,5,maize,0
22-01-2014,Winter,17,12.6,98.1,0.34,rice,0
23-01-2014,Winter,19.5,12.7,94.3,0,jute,0
24-01-2014,Winter,17.3,11,93.8,0,jute,0
25-01-2014,Winter,14.1,10,99.2,0,cotton,0
26-01-2014,Winter,20,9,90.9,0,chickpea,0
27-01-2014,Winter,23.2,8.4,81.9,0,maize,0
28-01-2014,Winter,23.2,8.6,77.1,0,lentil,0
29-01-2014,Winter,22,11,83.1,0,coffee,0
30-01-2014,Winter,22.4,11,91.6,0,orange,0
31-01-2014,Winter,19.8,10,94.9,0,apple,0
13-02-2014,Winter,22.1,6,67.5,0,papaya,0
14-02-2014,Winter,14.1,11,93.5,41.681,orange,0
15-02-2014,Winter,17,10,90,0,blackgram,0
16-02-2014,Winter,19.1,6,85.7,0,muskmelon,0
17-02-2014,Winter,21,7.6,77.1,0,mothbeans,0
18-02-2014,Winter,22.7,8,68.4,0,chickpea,0
19-02-2014,Winter,22.1,7.9,71.4,0,mothbeans,0
20-02-2014,Winter,24,10.1,72.2,0,banana,0
21-02-2014,Winter,24.1,10.3,72.3,0,papaya,0
22-02-2014,Winter,20.7,13,86.6,0.3,grapes,0
23-02-2014,Winter,21,12,86.3,0,mothbeans,0
24-02-2014,Winter,22.2,9,77,0,grapes,0
25-02-2014,Winter,24.5,10.4,67.3,0,pomegranate,0
26-02-2014,Winter,25.1,14,66.3,0.3,maize,0
27-02-2014,Winter,24,14,76.1,0.2,lentil,0
28-02-2014,Winter,22.3,13,85.2,17.507,mothbeans,0
13-03-2014,Summer,25.2,11.6,62.1,0,grapes,0
14-03-2014,Summer,26.2,11.4,61.3,0,rice,0
15-03-2014,Summer,28.6,12.4,59.9,0,papaya,0
16-03-2014,Summer,30.8,14.6,57.6,0,cotton,0
17-03-2014,Summer,33.7,15.9,59.8,0,jute,0
18-03-2014,Summer,29.5,20,54.7,0.17,pomegranate,1
19-03-2014,Summer,27.7,15,61,0,kidneybeans,0
20-03-2014,Summer,27.7,14,56,0,kidneybeans,0
21-03-2014,Summer,31.5,15,56.4,0,banana,0
22-03-2014,Summer,31.5,18,56.7,0,mothbeans,0
23-03-2014,Summer,26.3,18.4,64,0.1,coconut,0
24-03-2014,Summer,27.6,19,68.3,0.936,chickpea,0
25-03-2014,Summer,31.1,17,60.2,0,mango,0
26-03-2014,Summer,31.7,20.7,54.3,0,coffee,0
27-03-2014,Summer,29,20.4,60.7,1.701,coconut,0
28-03-2014,Summer,32.1,20.3,63.3,0.851,maize,0
29-03-2014,Summer,31.5,19,60.6,0.2,coffee,0
30-03-2014,Summer,30.1,17.2,49.6,0,kidneybeans,0
31-03-2014,Summer,30.5,15,47.3,0,mango,0
13-04-2014,Summer,32.2,23.8,36,0.34,banana,0
14-04-2014,Summer,33.1,22.7,39,0,jute,0
15-04-2014,Summer,36.1,22.2,39.6,0,coffee,0
16-04-2014,Summer,35,21.7,44.9,2,papaya,0
17-04-2014,Summer,32.4,22,41,0,jute,0
18-04-2014,Summer,28.6,19.1,55.4,7,papaya,0
19-04-2014,Summer,33,20,52.8,0,apple,0
20-04-2014,Summer,35,20.4,40.4,0,mothbeans,0
21-04-2014,Summer,37,20.6,30.6,0,watermelon,0
22-04-2014,Summer,37.4,23,28,0,mungbean,0
23-04-2014,Summer,37,23,31,0,lentil,0
24-04-2014,Summer,38,22.8,30.5,0,pomegranate,0
25-04-2014,Summer,38.6,22.7,29.4,0,pigeonpeas,0
26-04-2014,Summer,39,24.2,29.1,0,papaya,0
27-04-2014,Summer,40,23.6,29.4,0,mothbeans,0
28-04-2014,Summer,41,21,23.9,0,blackgram,0
29-04-2014,Summer,41,23.9,24.3,0,lentil,0
30-04-2014,Summer,43.6,25.1,21.8,0,lentil,0
13-05-2014,Summer,29.8,18,69.4,8.359,papaya,0
14-05-2014,Summer,32,20,61.6,3.403,blackgram,0
15-05-2014,Summer,35,23,50.4,0,maize,0
16-05-2014,Summer,36.5,25,45.8,0,rice,0
17-05-2014,Summer,37,25,46.7,0,papaya,0
18-05-2014,Summer,39,25,41.6,0,grapes,0
19-05-2014,Summer,38,25.5,33.8,0,pomegranate,0
20-05-2014,Summer,40.5,26.1,30.5,0,coconut,0
21-05-2014,Summer,38,26.3,30.2,0,apple,0
22-05-2014,Summer,42,25.4,29.7,0,cotton,0
23-05-2014,Summer,43,27.4,29.4,0.425,maize,0
24-05-2014,Summer,40,25.1,39.1,7.656,mungbean,0
25-05-2014,Summer,39,23.6,42.9,0,pomegranate,0
26-05-2014,Summer,36,23,52.9,11.058,orange,0
27-05-2014,Summer,39,25.6,44.8,0,mothbeans,0
28-05-2014,Summer,42.1,27,36,0,maize,0
29-05-2014,Summer,44,28.1,34.5,0,rice,0
30-05-2014,Summer,45,30,34.6,0.51,blackgram,0
31-05-2014,Summer,41.6,28.1,37.6,0,chickpea,0
13-06-2014,Monsoon,35.8,23,56.5,0.595,mungbean,0
14-06-2014,Monsoon,36.6,27,64.7,1.701,kidneybeans,0
15-06-2014,Monsoon,41,29.2,58.4,0.1,apple,0
16-06-2014,Monsoon,44,30.6,44.9,0,maize,0
17-06-2014,Monsoon,43,32,39,0,grapes,0
18-06-2014,Monsoon,43.1,29.6,54.9,3.403,chickpea,0
19-06-2014,Monsoon,41.6,28,52.1,0,kidneybeans,0
20-06-2014,Monsoon,43,31,40.4,0,blackgram,0
21-06-2014,Monsoon,41.2,33.4,40.5,0,cotton,0
22-06-2014,Monsoon,40,31,42.1,0,papaya,0
23-06-2014,Monsoon,40,28,44.6,2.552,lentil,0
24-06-2014,Monsoon,40,27.7,43.3,0,mothbeans,0
25-06-2014,Monsoon,37.1,27,48.3,0,watermelon,0
26-06-2014,Monsoon,38,26.5,52.7,22.287,coconut,0
27-06-2014,Monsoon,41,29.7,48.9,0,rice,0
28-06-2014,Monsoon,41.8,29,48,0,pigeonpeas,0
29-06-2014,Monsoon,39,26.5,51,4.253,kidneybeans,0
30-06-2014,Monsoon,38,26.2,66.1,0,mango,0
13-07-2014,Monsoon,42.7,27,62.4,22.117,mango,0
14-07-2014,Monsoon,35.6,28,72.3,0,grapes,0
15-07-2014,Monsoon,37.7,29,70.1,0,apple,0
16-07-2014,Monsoon,36.2,28.4,69.3,0,banana,0
17-07-2014,Monsoon,36.2,26,73.7,42.532,papaya,1
18-07-2014,Monsoon,30,26,90.9,8.507,coconut,0
19-07-2014,Monsoon,33,26,78.1,0,maize,0
20-07-2014,Monsoon,34,27.9,73.9,0,blackgram,0
21-07-2014,Monsoon,36,27,68.8,0,rice,0
22-07-2014,Monsoon,34.5,30,72.8,2.552,papaya,1
23-07-2014,Monsoon,33,29,75.1,0,kidneybeans,0
24-07-2014,Monsoon,33.2,28,71.1,0,jute,0
25-07-2014,Monsoon,33.2,27,66.7,0,cotton,0
26-07-2014,Monsoon,36.1,28,68.2,0,grapes,0
27-07-2014,Monsoon,36.6,28,72.2,0.1,pomegranate,0
28-07-2014,Monsoon,32.8,27.7,79.6,3,coconut,0
29-07-2014,Monsoon,35.3,26,78.4,0,banana,0
30-07-2014,Monsoon,35.3,27,77.3,0,orange,0
31-07-2014,Monsoon,35,28,76,0,orange,0
13-08-2014,Monsoon,36.6,27,66.9,0,banana,0
14-08-2014,Monsoon,35,27.1,65.9,0,apple,0
16-08-2014,Monsoon,33.6,27,63.8,0,mothbeans,0
17-08-2014,Monsoon,35.5,26,59.6,0,jute,0
19-08-2014,Monsoon,37,28.4,57,0,banana,0
20-08-2014,Monsoon,37.8,28.4,52.6,0,blackgram,0
21-08-2014,Monsoon,38.1,29,47.5,0,orange,0
22-08-2014,Monsoon,40,27,48.7,0,rice,0
23-08-2014,Monsoon,38.6,28.4,50.8,0,papaya,0
24-08-2014,Monsoon,38.6,27.6,51.2,0,maize,0
25-08-2014,Monsoon,40,29,50.6,0,lentil,0
26-08-2014,Monsoon,40,30,49,0,pigeonpeas,0
27-08-2014,Monsoon,37.4,28,48.9,0,blackgram,0
28-08-2014,Monsoon,36.1,25.6,69.2,6.72,kidneybeans,0
29-08-2014,Monsoon,34,27,71.5,0,mango,0
30-08-2014,Monsoon,34.1,25,81.3,10.207,cotton,0
31-08-2014,Monsoon,32.6,25,87.1,30.624,jute,1
13-09-2014,Monsoon,33.4,24,74.5,0,pomegranate,0
14-09-2014,Monsoon,34,25,69.6,0,pomegranate,0
15-09-2014,Monsoon,35,23,69.9,0,mango,0
16-09-2014,Monsoon,34.5,27,70.1,0,coffee,0
17-09-2014,Monsoon,34.8,26,66.5,0,rice,0
18-09-2014,Monsoon,35,26.9,64,0,banana,0
19-09-2014,Monsoon,35.7,26,63.2,0,muskmelon,0
20-09-2014,Monsoon,35.7,27,60.1,0,muskmelon,0
21-09-2014,Monsoon,35,25.4,59.6,0.2,kidneybeans,0
22-09-2014,Monsoon,36,25.4,58.2,0,maize,0
23-09-2014,Monsoon,37,24,52.4,0,blackgram,0
24-09-2014,Monsoon,35.7,25,53.5,0,pomegranate,0
25-09-2014,Monsoon,36,24,56.4,0,mothbeans,0
26-09-2014,Monsoon,36,25,54.4,0,watermelon,0
27-09-2014,Monsoon,36,25,51.3,0,jute,0
28-09-2014,Monsoon,35.6,25,51.7,0,cotton,0
29-09-2014,Monsoon,35.5,25,52.6,0,papaya,0
30-09-2014,Monsoon,37,25.9,50,0,banana,0
13-10-2014,Post-Monsoon,32.1,20.5,58.7,0,apple,0
14-10-2014,Post-Monsoon,27.6,22.7,67,1.701,mango,0
15-10-2014,Post-Monsoon,29.3,20,69.4,0,cotton,0
16-10-2014,Post-Monsoon,30,18.4,59.4,0,blackgram,0
17-10-2014,Post-Monsoon,31,17,54.4,0,maize,0
18-10-2014,Post-Monsoon,30.6,18,54.4,0,mango,0
19-10-2014,Post-Monsoon,31.2,17,58.4,0,coconut,0
20-10-2014,Post-Monsoon,32,17,58.1,0,grapes,0
21-10-2014,Post-Monsoon,34,19,57.6,0,cotton,0
22-10-2014,Post-Monsoon,33.6,19.9,57.7,0,grapes,0
23-10-2014,Post-Monsoon,32.2,19.9,64.2,0,coffee,0
24-10-2014,Post-Monsoon,32.5,20.8,63.8,0,blackgram,0
25-10-2014,Post-Monsoon,32,20.4,64.2,0,chickpea,0
26-10-2014,Post-Monsoon,32,21,60.4,0,chickpea,0
27-10-2014,Post-Monsoon,32.1,19.9,62.5,0,mungbean,0
28-10-2014,Post-Monsoon,31.7,19.8,55.2,0,kidneybeans,0
29-10-2014,Post-Monsoon,31.6,21.4,64.8,0.51,cotton,0
30-10-2014,Post-Monsoon,31.2,19.7,59,0,coconut,0
31-10-2014,Post-Monsoon,30,17.7,58.3,0,apple,0
13-11-2014,Post-Monsoon,27,12,55,0,watermelon,0
14-11-2014,Post-Monsoon,27.1,10,50.4,0,coffee,0
15-11-2014,Post-Monsoon,27,12,47,0,rice,0
16-11-2014,Post-Monsoon,27,10.1,50,0,coffee,0
17-11-2014,Post-Monsoon,27,11.1,50.5,0,coffee,0
18-11-2014,Post-Monsoon,27.1,10,51.6,0,banana,0
19-11-2014,Post-Monsoon,28.1,10.8,55.5,0,jute,0
20-11-2014,Post-Monsoon,27.5,10.1,54.8,0,mango,0
21-11-2014,Post-Monsoon,26.6,12,57,0,muskmelon,0
22-11-2014,Post-Monsoon,28,9.1,58.1,0,mungbean,0
23-11-2014,Post-Monsoon,28.1,11.1,44.6,0,grapes,0
24-11-2014,Post-Monsoon,25.5,9,53.5,0,rice,0
25-11-2014,Post-Monsoon,26,10.2,50.9,0,papaya,0
26-11-2014,Post-Monsoon,27,10.4,48.1,0,lentil,0
27-11-2014,Post-Monsoon,28.5,11,53.7,0,watermelon,0
28-11-2014,Post-Monsoon,29,12.8,52.6,0,coconut,0
29-11-2014,Post-Monsoon,29.7,14.6,56.8,0,orange,0
30-11-2014,Post-Monsoon,29.5,14.5,58.6,0,pomegranate,0
13-12-2014,Post-Monsoon,20,12.2,68.2,0.2,banana,0
14-12-2014,Post-Monsoon,15.8,13.1,94.3,9.358,banana,0
15-12-2014,Post-Monsoon,18.1,11.5,82.4,0,kidneybeans,0
16-12-2014,Post-Monsoon,18.7,8.4,88.1,0,coffee,1
17-12-2014,Post-Monsoon,18.5,8,86.8,0,pigeonpeas,0
18-12-2014,Post-Monsoon,15.9,6,91.2,0,maize,0
19-12-2014,Post-Monsoon,15.7,8,93,0,mango,0
20-12-2014,Post-Monsoon,16,5.6,84.4,0,mango,0
21-12-2014,Post-Monsoon,16,7,89.2,0,muskmelon,0
22-12-2014,Post-Monsoon,16,5.2,93.8,0,coconut,0
23-12-2014,Post-Monsoon,16,6,88,0,rice,0
24-12-2014,Post-Monsoon,14.8,6,93.8,0,rice,0
25-12-2014,Post-Monsoon,14.1,6,91.4,0,watermelon,0
26-12-2014,Post-Monsoon,16,6,93.1,0,cotton,0
27-12-2014,Post-Monsoon,18.5,6,80.1,0,lentil,0
28-12-2014,Post-Monsoon,17.6,2,90.6,0,mango,0
29-12-2014,Post-Monsoon,19.9,5.8,83.9,0,lentil,0
30-12-2014,Post-Monsoon,18.5,3,87.4,0,coconut,0
31-12-2014,Post-Monsoon,17.7,9,80.8,0,mango,0
13-01-2015,Winter,21.5,6,84.1,0,coconut,0
14-01-2015,Winter,15,9.3,86.6,0.936,blackgram,0
15-01-2015,Winter,18.2,5,82.3,0,coffee,0
16-01-2015,Winter,19.5,8,87.4,0,papaya,0
17-01-2015,Winter,21,8,83.4,0,mothbeans,0
18-01-2015,Winter,21.5,6,74.9,0,mungbean,0
19-01-2015,Winter,21.7,5.8,77.5,0,kidneybeans,0
20-01-2015,Winter,17.6,10,85.8,0,kidneybeans,0
21-01-2015,Winter,17,10,85,0,coffee,0
22-01-2015,Winter,18.1,11,91.6,5.955,apple,0
23-01-2015,Winter,19,12,89.9,0,mango,0
24-01-2015,Winter,16,10,87.9,0,jute,0
25-01-2015,Winter,17.2,9,84.1,0,orange,0
26-01-2015,Winter,15.8,11,90.2,0.766,grapes,0
27-01-2015,Winter,17.9,9,81.9,0,papaya,0
28-01-2015,Winter,17,7.3,83.7,0,jute,0
29-01-2015,Winter,18.6,5,75.7,0,banana,0
30-01-2015,Winter,19,4.6,68.3,0,orange,0
31-01-2015,Winter,20.5,5.1,66.8,0,grapes,0
13-02-2015,Winter,27,7.7,61.3,0,cotton,0
14-02-2015,Winter,27.6,12,57.1,0,jute,0
15-02-2015,Winter,27,12,67.5,0,maize,0
16-02-2015,Winter,28.2,13.3,63.5,0,muskmelon,0
17-02-2015,Winter,27,12.9,70.4,0,mothbeans,0
18-02-2015,Winter,29,13,67.2,0,grapes,0
19-02-2015,Winter,29,17.1,70.3,2,orange,1
20-02-2015,Winter,29,13.6,67.7,0.1,muskmelon,0
21-02-2015,Winter,27.5,16.8,58.5,0,jute,0
22-02-2015,Winter,30.2,14.2,58.6,0,mango,0
23-02-2015,Winter,29,16,67.1,0,pigeonpeas,0
24-02-2015,Winter,28.4,16,74.6,0,coffee,0
25-02-2015,Winter,28,19,65,0,lentil,0
26-02-2015,Winter,27,12.8,37.3,0,orange,0
27-02-2015,Winter,27,7.8,41.8,0,coconut,0
28-02-2015,Winter,28.6,13.9,41.4,0,orange,0
13-03-2015,Summer,28.1,15,60.7,0.1,watermelon,0
14-03-2015,Summer,27,16.9,65.7,0.4,muskmelon,0
15-03-2015,Summer,21.9,15.7,78.7,3.602,blackgram,0
16-03-2015,Summer,25,15,74.8,0.1,apple,0
17-03-2015,Summer,26.5,13,70.1,0,mango,0
18-03-2015,Summer,27.8,14,63.3,0,mango,0
19-03-2015,Summer,29,15,59,0,orange,0
20-03-2015,Summer,30.1,15,59.4,0,pigeonpeas,0
21-03-2015,Summer,32.3,17,55.6,0,coconut,0
22-03-2015,Summer,34,16.3,55.2,0,mungbean,0
23-03-2015,Summer,34.3,18,58.1,0,coconut,0
24-03-2015,Summer,34.5,18,55.9,0,banana,0
25-03-2015,Summer,34.6,19.4,54.6,0,kidneybeans,0
26-03-2015,Summer,36,20,56.1,0,mungbean,0
27-03-2015,Summer,35,23,42.8,0,lentil,0
28-03-2015,Summer,35.1,19,48.1,0,blackgram,0
29-03-2015,Summer,31.2,22.2,47.9,0,orange,0
30-03-2015,Summer,27.4,18.1,70.2,9.357,pigeonpeas,0
31-03-2015,Summer,31,19.9,65.2,0,mungbean,0
13-04-2015,Summer,31.5,19.8,67.9,1.701,maize,0
14-04-2015,Summer,31.3,21.2,60.7,0,papaya,0
15-04-2015,Summer,34,21.5,56.4,0.2,kidneybeans,0
16-04-2015,Summer,31,22,57.2,0,muskmelon,0
17-04-2015,Summer,36,20,53.6,0,orange,0
18-04-2015,Summer,38,23,42.9,0,orange,0
19-04-2015,Summer,41,23,39.1,0,coconut,0
20-04-2015,Summer,39.5,27.4,35,0,apple,0
21-04-2015,Summer,38.1,26,35.6,0,jute,0
22-04-2015,Summer,38.1,23.2,27.4,0,apple,0
